iter	Passed	Remaining
904	4510	473
905	4515	468
906	4520	463
907	4525	458
908	4530	453
909	4535	448
910	4539	443
911	4544	438
912	4549	433
913	4554	428
914	4559	423
915	4563	418
916	4568	413
917	4572	408
918	4576	403
919	4581	398
920	4586	393
921	4590	388
922	4595	383
923	4600	378
924	4604	373
925	4609	368
926	4613	363
927	4618	358
928	4623	353
929	4627	348
930	4632	343
931	4638	338
932	4643	333
933	4647	328
934	4652	323
935	4657	318
936	4662	313
937	4666	308
938	4670	303
939	4675	298
940	4680	293
941	4684	288
942	4689	283
943	4693	278
944	4698	273
945	4703	268
946	4708	263
947	4712	258
948	4717	253
949	4721	248
950	4725	243
951	4730	238
952	4734	233
953	4739	228
954	4744	223
955	4748	218
956	4752	213
957	4756	208
958	4761	203
959	4766	198
960	4770	193
961	4775	188
962	4780	183
963	4784	178
964	4788	173
965	4793	168
966	4797	163
967	4802	158
968	4806	153
969	4811	148
970	4816	143
971	4821	138
972	4826	133
973	4830	128
974	4834	123
975	4840	119
976	4844	114
977	4849	109
978	4854	104
979	4858	99
980	4863	94
981	4867	89
982	4872	84
983	4877	79
984	4882	74
985	4887	69
986	4891	64
987	4896	59
988	4901	54
989	4905	49
990	4910	44
991	4914	39
992	4919	34
993	4924	29
994	4930	24
995	4936	19
996	4941	14
997	4949	9
998	4955	4
999	4960	0
